gameid,title,developers,publishers,genres,supported_languages,release_date
1240530,Dungeon Warriors,['Ant Design Games'],['Ant Design Games'],"['Action', 'Adventure', 'Indie', 'RPG', 'Early Access']","['English', 'Simplified Chinese']",2020-10-01
1239520,Madden NFL 21,['Electronic Arts'],['Electronic Arts'],"['Simulation', 'Sports', 'Strategy']",['English'],2020-08-28
1239580,Fap Simulator 2020,['NL Studio'],['KazakovStudios'],"['Casual', 'Indie']","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Bulgarian', 'Portuguese - Brazil', 'Hungarian', 'Vietnamese', 'Greek', 'Danish', 'Spanish - Latin America', 'Traditional Chinese', 'Simplified Chinese', 'Korean', 'Dutch', 'Norwegian', 'Polish', 'Portuguese - Portugal', 'Romanian', 'Russian', 'Thai', 'Turkish', 'Ukrainian', 'Finnish', 'Czech', 'Swedish', 'Japanese', 'Azerbaijani', 'Albanian', 'Amharic', 'Armenian', 'Assamese', 'Afrikaans', 'Basque', 'Belarusian', 'Bangla', 'Bosnian', 'Valencian', 'Welsh', 'Wolof', 'Galician', 'Georgian', 'Gujarati', 'Dari', 'Zulu', 'Hebrew', 'Igbo', 'Indonesian', 'Irish', 'Icelandic', 'Yoruba', 'Kazakh', 'Kannada', 'Catalan', 'Quechua', 'Kinyarwanda', ""K'iche'"", 'Konkani', 'Xhosa', 'Khmer', 'Kyrgyz', 'Latvian', 'Lithuanian', 'Luxembourgish', 'Macedonian', 'Malay', 'Malayalam', 'Maltese', 'Maori', 'Marathi', 'Mongolian', 'Nepali', 'Odia', 'Punjabi (Gurmukhi)', 'Punjabi (Shahmukhi)', 'Persian', 'Serbian', 'Sotho', 'Sinhala', 'Sindhi', 'Slovak', 'Slovenian', 'Sorani', 'Swahili', 'Tajik', 'Tamil', 'Tatar', 'Telugu', 'Tigrinya', 'Tswana', 'Turkmen', 'Uzbek', 'Uyghur', 'Urdu', 'Filipino', 'Hausa', 'Hindi', 'Croatian', 'Cherokee', 'Scots', 'Estonian']",2020-02-14
1239590,T.A.R.S,['GreatherGames'],['GreatherGames'],"['Action', 'Adventure', 'Casual', 'Indie']",['English'],2020-03-02
1239660,Formula Retro Racing,['Repixel8'],['Repixel8'],"['Indie', 'Racing']",['English'],2020-05-14
1239690,Retrowave,['RewindApp'],['RewindApp'],"['Action', 'Casual', 'Indie', 'Racing', 'Simulation']","['English', 'Simplified Chinese', 'Russian', 'French', 'Traditional Chinese', 'Polish', 'Romanian', 'Turkish', 'Hungarian', 'Portuguese - Brazil', 'Czech', 'Spanish - Spain', 'Spanish - Latin America']",2022-05-06
1239710,Draco VR Dragon Sim,['Benjamin Pierce'],['Benjamin Pierce'],"['Simulation', 'Early Access']",['English'],2020-03-19
1239740,Up on the Rooftop,['Super Andersen Bros.'],['Super Andersen Bros.'],"['Action', 'Indie']",['English'],2020-11-02
1239780,Up on the Rooftop Soundtrack,"['Super Andersen Bros,']",['Super Andersen Bros'],"['Casual', 'Indie']",['English'],2020-11-02
1239800,Cannon Jump,['quasardeep'],['quasardeep'],"['Action', 'Indie']","['English', 'Russian', 'French', 'Italian', 'German', 'Spanish - Spain', 'Portuguese - Brazil', 'Korean', 'Polish', 'Turkish', 'Czech', 'Japanese', 'Simplified Chinese']",2022-12-12
1239870,Memory Player,['WANG ZHENZHEN'],['WANG ZHENZHEN'],"['Casual', 'Indie', 'RPG', 'Simulation', 'Strategy']","['English', 'Simplified Chinese']",2020-04-24
1239900,Infection Point,['JHEMGame'],['JHEMGame'],"['Action', 'Adventure', 'Indie', 'RPG']",['English'],2020-03-21
1239920,Xyla and the 'Shrooms of Doom,['goodWeatherGames'],['goodWeatherGames'],"['Action', 'Casual', 'Indie']",['English'],2020-02-21
1239940,Greed: Abandoned Dogs,"['PIXELLOO, INC']","['PIXELLOO, INC']","['Action', 'Free To Play', 'Massively Multiplayer', 'Early Access']",['English'],2021-07-22
1239950,Astronaut: The Best,['Universal Happymaker'],['Universal Happymaker'],"['Adventure', 'Indie', 'Simulation', 'Strategy']",['English'],2023-08-15
1239970,The Yolk Street,['Themis digital entertainment Co.'],['Themis digital entertainment Co.'],"['Casual', 'Indie', 'Strategy']","['Traditional Chinese', 'English', 'Japanese', 'Simplified Chinese']",2020-04-01
1239980,Luciform,['Chaos Minds'],['Chaos Minds'],['Indie'],"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Danish', 'Dutch', 'Japanese', 'Korean', 'Norwegian', 'Polish', 'Portuguese - Portugal', 'Russian', 'Simplified Chinese', 'Swedish', 'Traditional Chinese']",2021-02-02
1240040,SokoBunny,['DillyFrame'],['DillyFrame'],"['Casual', 'Indie', 'Strategy']","['English', 'French', 'Russian', 'Spanish - Spain', 'Spanish - Latin America', 'German']",2020-05-22
1240050,Pendragon: Narrative Tactics,['inkle Ltd'],['inkle Ltd'],"['Adventure', 'Indie', 'RPG', 'Strategy']",['English'],2020-09-22
1239050,Mists of Aiden,['Steppe Hare Studio'],['Steppe Hare Studio'],"['Action', 'Adventure', 'Indie']","['English', 'Simplified Chinese', 'Russian']",2020-11-10
1239120,Pyro the Exterminator,['Chained Dev'],['Chained Dev'],"['Indie', 'Early Access']","['English', 'Russian']",2020-03-19
1239140,Cube,['chushengjia'],['chushengjia'],"['Action', 'Adventure', 'Casual', 'Indie', 'Strategy']","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Danish', 'Ukrainian', 'Russian', 'Bulgarian', 'Hungarian', 'Turkish', 'Greek', 'Norwegian', 'Czech', 'Japanese', 'Polish', 'Thai', 'Swedish', 'Simplified Chinese', 'Traditional Chinese', 'Romanian', 'Finnish', 'Dutch', 'Portuguese - Portugal', 'Portuguese - Brazil', 'Spanish - Latin America', 'Vietnamese', 'Arabic', 'Korean']",2020-03-08
1239180,AZ: Oath of Brotherhood Prologue 1,['WeSoloAZ'],['WeSoloAZ'],"['Free To Play', 'Indie', 'RPG']",['English'],2020-03-19
